category,name,phase,covered
attribute,pedal/@line,1,
element,direction-type/octave-shift,1,
attribute,octave-shift/@type,1,
attribute,octave-shift/@number,1,
attribute,octave-shift/@size,1,
element,direction-type/rehearsal,1,
attribute,rehearsal/@enclosure,1,
element,direction-type/segno,1,
element,direction-type/coda,1,
element,direction-type/dashes,1,
attribute,dashes/@type,1,
attribute,dashes/@number,1,
element,direction-type/bracket,1,
attribute,bracket/@type,1,
attribute,bracket/@number,1,
attribute,bracket/@line-end,1,
element,direction-type/string-mute,1,
attribute,string-mute/@type,1,
element,direction/offset,1,
element,direction/staff,1,
element,direction/sound,3,
attribute,sound/@tempo,3,
attribute,sound/@dynamics,3,
attribute,sound/@dacapo,3,
attribute,sound/@segno,3,
attribute,sound/@dalsegno,3,
attribute,sound/@coda,3,
attribute,sound/@tocoda,3,
attribute,sound/@fine,3,
attribute,sound/@forward-repeat,3,
attribute,sound/@pizzicato,3,
element,barline,1,*
attribute,barline/@location,1,*
element,barline/bar-style,1,*
element,barline/repeat,1,*
attribute,repeat/@direction,1,*
attribute,repeat/@times,1,
element,barline/ending,1,
attribute,ending/@number,1,
attribute,ending/@type,1,
element,barline/fermata,1,
element,voice,3,
element,backup,3,
element,backup/duration,3,
element,forward,3,
element,forward/duration,3,
element,display-step,none,
element,display-octave,none,
element,notehead-text,none,
element,tuplet/tuplet-actual,none,
element,tuplet/tuplet-normal,none,
element,tuplet/tuplet-number,none,
element,tuplet/tuplet-type,none,
element,tuplet/tuplet-dot,none,
element,notations/other-notation,none,
element,ornaments/vertical-turn,none,
element,ornaments/inverted-vertical-turn,none,
element,ornaments/schleifer,none,
element,ornaments/haydn,none,
element,ornaments/other-ornament,none,
element,notations/accidental-mark,none,
element,harmonic/natural,none,
element,harmonic/artificial,none,
element,harmonic/base-pitch,none,
element,harmonic/touching-pitch,none,
element,harmonic/sounding-pitch,none,
element,technical/thumb-position,none,
element,technical/pluck,none,
element,technical/double-tongue,none,
element,technical/triple-tongue,none,
element,technical/stopped,none,
element,technical/fingernails,none,
element,technical/hole,none,
element,hole/hole-type,none,
element,hole/hole-closed,none,
element,hole/hole-shape,none,
element,technical/arrow,none,
element,arrow/arrow-direction,none,
element,arrow/arrow-style,none,
element,arrow/arrowhead,none,
element,arrow/circular-arrow,none,
element,technical/handbell,none,
element,technical/brass-bend,none,
element,technical/flip,none,
element,technical/smear,none,
element,technical/open,none,
element,technical/half-muted,none,
element,technical/harmon-mute,none,
element,harmon-mute/harmon-closed,none,
element,technical/golpe,none,
element,technical/other-technical,none,
element,articulations/scoop,none,
element,articulations/plop,none,
element,articulations/doit,none,
element,articulations/falloff,none,
element,articulations/breath-mark,none,
element,articulations/caesura,none,
element,articulations/other-articulation,none,
element,lyric/end-line,none,
element,lyric/end-paragraph,none,
element,note/listen,none,
element,listen/assess,none,
element,listen/wait,none,
element,listen/other-listen,none,
element,figured-bass,none,
element,figured-bass/figure,none,
element,figure/prefix,none,
element,figure/figure-number,none,
element,figure/suffix,none,
element,direction-type/symbol,none,
element,metronome/beat-unit-dot,none,
element,metronome/beat-unit-tied,none,
element,metronome/metronome-note,none,
element,metronome-note/metronome-relation,none,
element,metronome-note/metronome-type,none,
element,metronome-note/metronome-arrows,none,
element,metronome-note/metronome-dot,none,
element,metronome-note/metronome-beam,none,
element,metronome-note/metronome-tied,none,
element,metronome-note/metronome-tuplet,none,
element,direction-type/harp-pedals,none,
element,harp-pedals/pedal-tuning,none,
element,pedal-tuning/pedal-step,none,
element,pedal-tuning/pedal-alter,none,
element,direction-type/damp,none,
element,direction-type/damp-all,none,
element,direction-type/eyeglasses,none,
element,direction-type/scordatura,none,
element,scordatura/accord,none,
element,direction-type/image,none,
element,direction-type/principal-voice,none,
element,direction-type/accordion-registration,none,
element,accordion-registration/accordion-high,none,
element,accordion-registration/accordion-middle,none,
element,accordion-registration/accordion-low,none,
element,direction-type/staff-divide,none,
element,direction-type/percussion,none,
element,percussion/glass,none,
element,percussion/metal,none,
element,percussion/wood,none,
element,percussion/pitched,none,
element,percussion/membrane,none,
element,percussion/effect,none,
element,percussion/timpani,none,
element,percussion/beater,none,
element,percussion/stick,none,
element,stick/stick-type,none,
element,stick/stick-material,none,
element,stick/stick-location,none,
element,percussion/other-percussion,none,
element,direction-type/other-direction,none,
element,direction-type/harmony,none,
element,harmony/root,none,
element,root/root-step,none,
element,root/root-alter,none,
element,harmony/numeral,none,
element,numeral/numeral-root,none,
element,numeral/numeral-alter,none,
element,numeral/numeral-key,none,
element,numeral-key/numeral-fifths,none,
element,numeral-key/numeral-mode,none,
element,harmony/function,none,
element,harmony/kind,none,
element,harmony/inversion,none,
element,harmony/bass,none,
element,bass/bass-separator,none,
element,bass/bass-step,none,
element,bass/bass-alter,none,
element,harmony/degree,none,
element,degree/degree-value,none,
element,degree/degree-alter,none,
element,degree/degree-type,none,
element,harmony/frame,none,
element,frame/frame-strings,none,
element,frame/frame-frets,none,
element,frame/first-fret,none,
element,frame/frame-note,none,
element,frame-note/barre,none,
element,direction-type/grouping,none,
element,grouping/feature,none,
element,part/print,none,
element,print/measure-numbering,none,
element,direction/instrument-change,none,
element,direction-type/swing,none,
element,swing/straight,none,
element,swing/first,none,
element,swing/second,none,
element,swing/swing-type,none,
element,swing/swing-style,none,
element,score-timewise/listening,none,
element,listening/sync,none,
element,listening/other-listening,none,
element,time/interchangeable,none,
element,time/time-relation,none,
element,key/cancel,none,
element,key/key-step,none,
element,key/key-alter,none,
element,key/key-accidental,none,
element,key/key-octave,none,
element,attributes/part-symbol,none,
element,attributes/instruments,none,
element,staff-details/line-detail,none,
element,staff-details/staff-size,none,
element,transpose/double,none,
element,attributes/for-part,none,
element,for-part/part-clef,none,
element,for-part/part-transpose,none,
element,attributes/directive,none,
element,attributes/measure-style,none,
element,measure-style/multiple-rest,none,
element,measure-style/measure-repeat,none,
element,measure-style/beat-repeat,none,
element,measure-style/slash,none,
element,slash/slash-type,none,
element,slash/slash-dot,none,
element,measure-repeat/except-voice,none,
element,work/opus,none,
element,defaults/concert-score,none,
element,defaults/music-font,none,
element,defaults/word-font,none,
element,defaults/lyric-language,none,
element,credit/credit-type,none,
element,credit/credit-symbol,none,
element,credit/credit-image,none,
element,score-part/part-link,none,
element,part-link/instrument-link,none,
element,part-link/group-link,none,
element,part-list/part-group,none,
element,part-group/group-name,none,
element,part-group/group-name-display,none,
element,part-group/group-abbreviation,none,
element,part-group/group-abbreviation-display,none,
element,part-group/group-symbol,none,
element,part-group/group-barline,none,
element,part-group/group-time,none,
element,score-part/instrument-abbreviation,none,
element,score-instrument/group,none,
element,score-part/player,none,
element,player/player-name,none,
element,score-timewise/score-partwise,none,
element,defaults/page-layout,none,
element,page-layout/page-height,none,
element,page-layout/page-width,none,
element,page-layout/page-margins,none,
element,page-margins/left-margin,none,
element,page-margins/right-margin,none,
element,page-margins/top-margin,none,
element,page-margins/bottom-margin,none,
element,defaults/system-layout,none,
element,system-layout/system-margins,none,
element,system-layout/system-distance,none,
element,system-layout/top-system-distance,none,
element,system-layout/system-dividers,none,
element,system-dividers/left-divider,none,
element,system-dividers/right-divider,none,
element,defaults/staff-layout,none,
element,staff-layout/staff-distance,none,
element,defaults/measure-layout,none,
element,measure-layout/measure-distance,none,
element,defaults/appearance,none,
element,appearance/line-width,none,
element,appearance/note-size,none,
element,appearance/distance,none,
element,appearance/glyph,none,
element,appearance/other-appearance,none,
element,encoding/encoder,none,
element,encoding/encoding-description,none,
element,encoding/supports,none,
element,identification/source,none,
element,identification/relation,none,
element,identification/miscellaneous,none,
element,miscellaneous/miscellaneous-field,none,
element,note/footnote,none,
element,note/level,none,
element,tuplet-normal/normal-dot,none,
element,dynamics/ppppp,none,
element,dynamics/pppppp,none,
element,dynamics/fffff,none,
element,dynamics/ffffff,none,
element,dynamics/sfp,none,
element,dynamics/sfpp,none,
element,dynamics/sfzp,none,
element,dynamics/n,none,
element,identification/bookmark,none,
element,identification/link,none,
element,staff-tuning/tuning-alter,none,
element,notations/display-text,none,
element,notations/accidental-text,none,
element,score-part/part-name-display,none,
element,score-part/part-abbreviation-display,none,
element,score-instrument/solo,none,
element,score-instrument/ensemble,none,
element,midi-instrument/midi-name,none,
element,midi-instrument/midi-bank,none,
element,note/play,none,
element,play/ipa,none,
element,play/mute,none,
element,play/semi-pitched,none,
element,play/other-play,none,
